Sensor,Time,Date,Flow,Occupancy,Vehicles Entered,Speed,Harmonic Mean Speed,Length,Vehicles Contributed,Label
End Points,1260.0,2025-01-01,40.0,0.7233333333333333,0.6666666666666666,6.446666666666666,6.446666666666666,3.6999999999999997,0.6666666666666666,0
OStart Points,1260.0,2025-01-01,30.0,0.745,0.5,6.2,6.2,5.5,0.5,0
Start Points,1320.0,2025-01-01,40.0,2.4766666666666666,1.3333333333333333,0.7633333333333333,0.7433333333333335,2.516666666666667,0.6666666666666666,0
Mid Points,1320.0,2025-01-01,20.0,0.5,0.3333333333333333,3.7866666666666666,3.7866666666666666,3.3333333333333335,0.3333333333333333,0
End Points,1320.0,2025-01-01,40.0,1.04,0.6666666666666666,5.946666666666666,5.946666666666666,4.3999999999999995,0.6666666666666666,0
OStart Points,1320.0,2025-01-01,30.0,2.35,1.0,1.8050000000000002,1.8050000000000002,5.5,0.5,0
Start Points,1380.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,1380.0,2025-01-01,20.0,0.2833333333333333,0.3333333333333333,3.9600000000000004,3.9600000000000004,1.7,0.3333333333333333,0
End Points,1380.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,1380.0,2025-01-01,60.0,2.185,0.5,2.845,2.845,4.275,1.0,0
Start Points,1440.0,2025-01-01,60.0,2.0866666666666664,1.3333333333333333,8.133333333333335,8.133333333333335,8.033333333333333,1.0,0
Mid Points,1440.0,2025-01-01,20.0,0.49333333333333335,0.3333333333333333,3.8466666666666662,3.8466666666666662,3.3333333333333335,0.3333333333333333,0
End Points,1440.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,1440.0,2025-01-01,30.0,1.465,0.5,2.915,2.915,5.5,0.5,0
Start Points,1500.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,1500.0,2025-01-01,40.0,0.49666666666666665,0.6666666666666666,3.8266666666666667,3.8166666666666664,1.3499999999999999,0.6666666666666666,0
End Points,1500.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,1500.0,2025-01-01,60.0,1.405,1.0,3.18,3.145,2.525,1.0,0
Start Points,1560.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,1560.0,2025-01-01,60.0,1.05,1.0,7.453333333333333,7.446666666666666,3.5833333333333335,1.0,0
End Points,1560.0,2025-01-01,40.0,0.89,0.6666666666666666,5.1066666666666665,5.1066666666666665,2.766666666666667,0.6666666666666666,0
OStart Points,1560.0,2025-01-01,90.0,2.78,1.5,3.9749999999999996,3.5300000000000002,3.865,1.5,0
Start Points,1620.0,2025-01-01,20.0,1.03,0.6666666666666666,0.9700000000000001,0.9700000000000001,1.7,0.3333333333333333,0
Mid Points,1620.0,2025-01-01,20.0,0.29333333333333333,0.3333333333333333,3.8033333333333332,3.8033333333333332,1.7,0.3333333333333333,0
End Points,1620.0,2025-01-01,20.0,0.9933333333333333,0.3333333333333333,1.57,1.57,3.3333333333333335,0.3333333333333333,0
OStart Points,1620.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Start Points,1680.0,2025-01-01,20.0,1.373333333333333,0.6666666666666666,1.3766666666666667,1.3766666666666667,3.3333333333333335,0.3333333333333333,0
Mid Points,1680.0,2025-01-01,20.0,0.49333333333333335,0.3333333333333333,3.84,3.84,3.3333333333333335,0.3333333333333333,0
End Points,1680.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,1680.0,2025-01-01,60.0,2.31,1.0,2.92,2.915,4.275,1.0,0
Start Points,1740.0,2025-01-01,80.0,2.8699999999999997,2.0,4.419999999999999,4.263333333333333,4.166666666666667,1.3333333333333333,0
Mid Points,1740.0,2025-01-01,60.0,0.91,1.0,3.7733333333333334,3.77,1.7766666666666666,1.0,0
End Points,1740.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,1740.0,2025-01-01,90.0,2.71,1.5,2.915,2.89,3.165,1.5,0
Start Points,1800.0,2025-01-01,60.0,1.58,1.3333333333333333,4.033333333333333,4.026666666666666,3.35,1.0,0
Mid Points,1800.0,2025-01-01,120.0,1.92,2.0,8.073333333333332,7.973333333333334,3.606666666666667,2.0,0
End Points,1800.0,2025-01-01,20.0,0.21333333333333335,0.3333333333333333,3.67,3.67,1.0,0.3333333333333333,0
OStart Points,1800.0,2025-01-01,60.0,1.615,1.0,2.6,2.555,2.525,1.0,0
Start Points,1860.0,2025-01-01,20.0,1.3266666666666667,0.6666666666666666,1.5333333333333332,1.5333333333333332,3.3333333333333335,0.3333333333333333,0
Mid Points,1860.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
End Points,1860.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,1860.0,2025-01-01,90.0,2.87,1.5,2.595,2.565,3.165,1.5,0
Start Points,1920.0,2025-01-01,20.0,1.3800000000000001,0.6666666666666666,1.0066666666666666,1.0066666666666666,3.3333333333333335,0.3333333333333333,0
Mid Points,1920.0,2025-01-01,80.0,1.9266666666666667,1.3333333333333333,3.4766666666666666,3.4466666666666668,2.9266666666666663,1.3333333333333333,0
End Points,1920.0,2025-01-01,40.0,0.7766666666666667,0.6666666666666666,1.7933333333333332,1.7233333333333334,1.0,0.6666666666666666,0
OStart Points,1920.0,2025-01-01,120.0,5.58,2.0,2.735,2.695,4.89,2.0,0
Start Points,1980.0,2025-01-01,40.0,2.1933333333333334,1.3333333333333333,1.21,1.0666666666666667,2.1666666666666665,0.6666666666666666,0
Mid Points,1980.0,2025-01-01,60.0,0.7999999999999999,1.0,3.64,3.626666666666667,1.4666666666666668,1.0,0
End Points,1980.0,2025-01-01,20.0,0.5633333333333334,0.3333333333333333,1.6633333333333333,1.6633333333333333,1.7,0.3333333333333333,0
OStart Points,1980.0,2025-01-01,90.0,2.07,1.5,10.585,10.455,6.05,1.5,0
Start Points,2040.0,2025-01-01,100.0,4.786666666666666,3.0,5.226666666666667,5.07,4.343333333333333,1.6666666666666667,0
Mid Points,2040.0,2025-01-01,80.0,1.2466666666666668,1.3333333333333333,3.606666666666667,3.5833333333333335,1.76,1.3333333333333333,0
End Points,2040.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,2040.0,2025-01-01,150.0,4.43,2.5,2.725,2.63,2.91,2.5,0
Start Points,2100.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,2100.0,2025-01-01,20.0,0.49,0.3333333333333333,3.856666666666667,3.856666666666667,3.3333333333333335,0.3333333333333333,0
End Points,2100.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,2100.0,2025-01-01,30.0,1.42,0.5,3.02,3.02,5.5,0.5,0
Start Points,2160.0,2025-01-01,40.0,2.35,1.3333333333333333,1.46,1.4133333333333333,2.516666666666667,0.6666666666666666,0
Mid Points,2160.0,2025-01-01,40.0,0.7733333333333333,0.6666666666666666,3.91,3.91,2.516666666666667,0.6666666666666666,0
End Points,2160.0,2025-01-01,20.0,0.9666666666666667,0.3333333333333333,1.6366666666666667,1.6366666666666667,3.3333333333333335,0.3333333333333333,0
OStart Points,2160.0,2025-01-01,60.0,2.44,1.0,2.75,2.75,4.275,1.0,0
Start Points,2220.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,2220.0,2025-01-01,60.0,1.3,1.0,2.7266666666666666,2.6833333333333336,2.01,1.0,0
End Points,2220.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,2220.0,2025-01-01,60.0,2.165,1.0,2.835,2.83,3.75,1.0,0
Start Points,2280.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,2280.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
End Points,2280.0,2025-01-01,20.0,0.8833333333333333,0.3333333333333333,1.8433333333333335,1.8433333333333335,3.3333333333333335,0.3333333333333333,0
OStart Points,2280.0,2025-01-01,30.0,0.915,0.5,2.735,2.735,3.05,0.5,0
Start Points,2340.0,2025-01-01,60.0,2.33,1.6666666666666667,5.27,5.253333333333333,3.6999999999999997,1.0,0
Mid Points,2340.0,2025-01-01,40.0,0.9199999999999999,1.0,3.8066666666666666,3.8033333333333332,1.7,0.6666666666666666,0
End Points,2340.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,2340.0,2025-01-01,60.0,1.78,1.0,2.82,2.82,3.05,1.0,0
Start Points,2400.0,2025-01-01,60.0,2.4600000000000004,1.6666666666666667,5.466666666666666,5.463333333333334,3.5833333333333335,1.0,0
Mid Points,2400.0,2025-01-01,100.0,1.18,1.3333333333333333,7.876666666666666,7.743333333333333,3.776666666666667,1.6666666666666667,0
End Points,2400.0,2025-01-01,20.0,0.09000000000000001,0.3333333333333333,3.8533333333333335,3.8533333333333335,0.06666666666666672,0.3333333333333333,0
OStart Points,2400.0,2025-01-01,60.0,2.28,1.0,2.965,2.965,4.275,1.0,0
Start Points,2460.0,2025-01-01,80.0,3.3200000000000003,2.0,5.183333333333334,5.153333333333333,5.333333333333333,1.3333333333333333,0
Mid Points,2460.0,2025-01-01,60.0,1.2033333333333334,1.0,8.583333333333334,8.583333333333334,5.333333333333333,1.0,0
End Points,2460.0,2025-01-01,20.0,0.22,0.3333333333333333,3.53,3.53,1.0,0.3333333333333333,0
OStart Points,2460.0,2025-01-01,60.0,2.255,1.0,3.005,3.005,4.275,1.0,0
Start Points,2520.0,2025-01-01,40.0,2.39,1.3333333333333333,1.5533333333333335,1.4733333333333334,2.516666666666667,0.6666666666666666,0
Mid Points,2520.0,2025-01-01,40.0,0.7833333333333333,0.6666666666666666,3.84,3.84,2.516666666666667,0.6666666666666666,0
End Points,2520.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,2520.0,2025-01-01,90.0,3.835,1.5,2.85,2.845,4.685,1.5,0
Start Points,2580.0,2025-01-01,20.0,1.0033333333333332,0.6666666666666666,1.5866666666666667,1.5866666666666667,1.7,0.3333333333333333,0
Mid Points,2580.0,2025-01-01,20.0,0.27,0.3333333333333333,4.2299999999999995,4.2299999999999995,1.7,0.3333333333333333,0
End Points,2580.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,2580.0,2025-01-01,90.0,2.3,1.5,12.0,11.524999999999999,10.775,1.5,0
Start Points,2640.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,2640.0,2025-01-01,40.0,0.61,0.6666666666666666,3.0233333333333334,3.02,1.3499999999999999,0.6666666666666666,0
End Points,2640.0,2025-01-01,20.0,0.8633333333333333,0.3333333333333333,1.9100000000000001,1.9100000000000001,3.3333333333333335,0.3333333333333333,0
OStart Points,2640.0,2025-01-01,30.0,0.78,0.5,2.17,2.17,2.0,0.5,0
Start Points,2700.0,2025-01-01,60.0,3.7033333333333336,2.0,1.45,1.4333333333333333,2.7899999999999996,1.0,0
Mid Points,2700.0,2025-01-01,60.0,1.2433333333333334,1.0,3.53,3.4766666666666666,2.5566666666666666,1.0,0
End Points,2700.0,2025-01-01,20.0,0.6,0.3333333333333333,1.53,1.53,1.7,0.3333333333333333,0
OStart Points,2700.0,2025-01-01,90.0,2.865,1.5,3.05,3.045,3.5149999999999997,1.5,0
Start Points,2760.0,2025-01-01,20.0,1.376666666666667,0.6666666666666666,1.1466666666666667,1.1466666666666667,3.3333333333333335,0.3333333333333333,0
Mid Points,2760.0,2025-01-01,40.0,0.7933333333333333,0.6666666666666666,3.78,3.776666666666667,2.516666666666667,0.6666666666666666,0
End Points,2760.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,2760.0,2025-01-01,90.0,3.805,1.5,2.91,2.9,4.685,1.5,0
Start Points,2820.0,2025-01-01,20.0,0.32,0.3333333333333333,2.216666666666667,2.216666666666667,1.0,0.3333333333333333,0
Mid Points,2820.0,2025-01-01,20.0,0.21666666666666667,0.3333333333333333,3.61,3.61,1.0,0.3333333333333333,0
End Points,2820.0,2025-01-01,20.0,0.6266666666666666,0.3333333333333333,1.4333333333333333,1.4333333333333333,1.7,0.3333333333333333,0
OStart Points,2820.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Start Points,2880.0,2025-01-01,20.0,1.32,0.6666666666666666,1.68,1.68,3.3333333333333335,0.3333333333333333,0
Mid Points,2880.0,2025-01-01,20.0,0.48666666666666664,0.3333333333333333,3.8966666666666665,3.8966666666666665,3.3333333333333335,0.3333333333333333,0
End Points,2880.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,2880.0,2025-01-01,60.0,2.24,1.0,2.575,2.555,3.75,1.0,0
Start Points,2940.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,2940.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
End Points,2940.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,2940.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Start Points,3000.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,3000.0,2025-01-01,40.0,0.6933333333333334,0.6666666666666666,3.1300000000000003,3.1300000000000003,1.7,0.6666666666666666,0
End Points,3000.0,2025-01-01,20.0,0.4466666666666667,0.3333333333333333,1.4133333333333333,1.4133333333333333,1.0,0.3333333333333333,0
OStart Points,3000.0,2025-01-01,30.0,1.29,0.5,1.79,1.79,3.05,0.5,0
Start Points,3060.0,2025-01-01,20.0,1.0233333333333332,0.6666666666666666,1.0899999999999999,1.0899999999999999,1.7,0.3333333333333333,0
Mid Points,3060.0,2025-01-01,40.0,0.48333333333333334,0.6666666666666666,4.07,4.036666666666666,1.3499999999999999,0.6666666666666666,0
End Points,3060.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,3060.0,2025-01-01,30.0,0.975,0.5,2.53,2.53,3.05,0.5,0
Start Points,3120.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,3120.0,2025-01-01,40.0,0.6699999999999999,0.6666666666666666,2.6566666666666667,2.65,1.3499999999999999,0.6666666666666666,0
End Points,3120.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,3120.0,2025-01-01,120.0,3.18,2.0,2.695,2.66,2.525,2.0,0
Start Points,3180.0,2025-01-01,40.0,0.49666666666666665,0.6666666666666666,7.116666666666667,7.116666666666667,3.0,0.6666666666666666,0
Mid Points,3180.0,2025-01-01,40.0,0.41333333333333333,0.6666666666666666,3.83,3.83,1.0,0.6666666666666666,0
End Points,3180.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,3180.0,2025-01-01,90.0,1.81,1.5,3.83,3.22,2.35,1.5,0
Start Points,3240.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,3240.0,2025-01-01,20.0,0.34,0.3333333333333333,2.0666666666666664,2.0666666666666664,1.0,0.3333333333333333,0
End Points,3240.0,2025-01-01,20.0,0.5566666666666666,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0
OStart Points,3240.0,2025-01-01,60.0,1.07,1.0,10.04,10.04,6.05,1.0,0
Start Points,3300.0,2025-01-01,20.0,1.3499999999999999,0.6666666666666666,1.4633333333333332,1.4633333333333332,3.3333333333333335,0.3333333333333333,0
Mid Points,3300.0,2025-01-01,20.0,0.48333333333333334,0.3333333333333333,3.936666666666667,3.936666666666667,3.3333333333333335,0.3333333333333333,0
End Points,3300.0,2025-01-01,20.0,0.5266666666666667,0.3333333333333333,1.8233333333333333,1.8233333333333333,1.7,0.3333333333333333,0
OStart Points,3300.0,2025-01-01,0.0,0.64,0.5,-1.0,-1.0,-1.0,0.0,0
Start Points,3360.0,2025-01-01,80.0,1.3966666666666665,1.3333333333333333,6.486666666666667,6.473333333333334,3.6999999999999997,1.3333333333333333,0
Mid Points,3360.0,2025-01-01,100.0,1.31,1.6666666666666667,3.466666666666667,3.376666666666667,1.28,1.6666666666666667,0
End Points,3360.0,2025-01-01,20.0,0.8566666666666666,0.3333333333333333,1.9266666666666667,1.9266666666666667,3.3333333333333335,0.3333333333333333,0
OStart Points,3360.0,2025-01-01,180.0,4.83,2.5,10.06,10.004999999999999,9.620000000000001,3.0,0
Start Points,3420.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Mid Points,3420.0,2025-01-01,20.0,0.35000000000000003,0.3333333333333333,3.0833333333333335,3.0833333333333335,1.7,0.3333333333333333,0
End Points,3420.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
OStart Points,3420.0,2025-01-01,90.0,2.26,1.5,3.955,3.465,3.5149999999999997,1.5,0
Start Points,3480.0,2025-01-01,20.0,1.36,0.6666666666666666,1.9100000000000001,1.9100000000000001,3.3333333333333335,0.3333333333333333,0
Mid Points,3480.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
End Points,3480.0,2025-01-01,40.0,1.3133333333333332,0.6666666666666666,1.79,1.7833333333333332,2.1666666666666665,0.6666666666666666,0
OStart Points,3480.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
Start Points,3540.0,2025-01-01,40.0,1.1966666666666665,0.6666666666666666,5.626666666666668,5.626666666666668,6.033333333333334,0.6666666666666666,0
Mid Points,3540.0,2025-01-01,40.0,0.77,0.6666666666666666,3.97,3.9633333333333334,2.516666666666667,0.6666666666666666,0
End Points,3540.0,2025-01-01,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
